Rozdzial;Zarządzanie projektem, bezpieczeństwo i przepisy
Slowo;Definicja;Synonimy;AudioE;AudioP;Obrazy
accreditation;akredytacja;;[sound:quizlet-16914755274-front.mp3];[sound:quizlet-16914755274-back.mp3];"<img src=""quizlet--Z1Sx.wMJ1.J0tDH46vAXg.jpg"">"
administrative charges;opłaty administracyjne;;[sound:quizlet-16914755297-front.mp3];[sound:quizlet-16914755297-back.mp3];"<img src=""quizlet-4f2Lt0dkOSwjdNAjZvP52A.jpg"">"
agency;agencja;;[sound:quizlet-16914755305-front.mp3];[sound:quizlet-16914755305-back.mp3];"<img src=""quizlet-5187470260_deef9eab00.jpg"">"
agent;agent;;[sound:quizlet-16914755306-front.mp3];[sound:quizlet-16914755306-back.mp3];"<img src=""quizlet-J4o9rXzkNT69PBzpgAvmgA.jpg"">"
alarm;alarm;;[sound:quizlet-16914755328-front.mp3];[sound:quizlet-16914755328-back.mp3];"<img src=""quizlet-ikEBhEe7t62U0eSe.vjBLQ.jpg"">"
allowable;dopuszczalne;Synonimy: acceptable;[sound:quizlet-16914755338-front.mp3];[sound:quizlet-16914755338-back.mp3];"<img src=""quizlet-Yq2w5hXo5HtGFNwys5_ugA.jpg"">"
arbitration;arbitraż;;[sound:quizlet-16914755388-front.mp3];[sound:quizlet-16914755388-back.mp3];"<img src=""quizlet-zIw0NmIRm2Y7oR4Fvmxc6Q.jpg"">"
arbitrator;arbiter;;[sound:quizlet-16914755389-front.mp3];[sound:quizlet-16914755389-back.mp3];"<img src=""quizlet-2638185409_4617c55376.jpg"">"
architect;architekt;;[sound:quizlet-16914755392-front.mp3];[sound:quizlet-16914755392-back.mp3];"<img src=""quizlet-Z9imJ2I.lx3DtdZu6DcUJg.jpg"">"
assent;zgoda;Synonimy: agreement, consent, acceptance;[sound:quizlet-16914755419-front.mp3];[sound:quizlet-16914755419-back.mp3];"<img src=""quizlet-dqHGZF3GQECjhBT6t9CROA.jpg"">"
bricklayer;murarz;;[sound:quizlet-16914769547-front.mp3];[sound:quizlet-16914769547-back.mp3];"<img src=""quizlet-j2hYmVcee6Ov3dxOQ9G-vA.jpg"">"
building permit;pozwolenie na budowę;;[sound:quizlet-16914769552-front.mp3];[sound:quizlet-16914769552-back.mp3];"<img src=""quizlet-H3W3qFMdzRVTZRz18PwXHQ.jpg"">"
building regulations;przepisy budowlane;;[sound:quizlet-16914769553-front.mp3];[sound:quizlet-16914769553-back.mp3];"<img src=""quizlet-liWOMwcRvSVAzK1WpcL.TQ.png"">"
building surveyor;inspektor budowlany;;[sound:quizlet-16914769554-front.mp3];[sound:quizlet-16914769554-back.mp3];"<img src=""quizlet-p4u8Hl6cRnxvbRLJ9-4HqA.jpg"">"
carpenter;cieśla;;[sound:quizlet-16914769586-front.mp3];[sound:quizlet-16914769586-back.mp3];"<img src=""quizlet-b0tVmMUv7NtyYF0YsXd.gg.jpg"">"
cartographer;kartograf;;[sound:quizlet-16914769592-front.mp3];[sound:quizlet-16914769592-back.mp3];"<img src=""quizlet-8IjoPJlEfiqnMJ2vaf7ydg.jpg"">"
civil engineer;inżynier budownictwa;;[sound:quizlet-16914779135-front.mp3];[sound:quizlet-16914779135-back.mp3];"<img src=""quizlet-gzM-tCEeFuZjlD0rVBbxIA.jpg"">"
claim;roszczenie;;[sound:quizlet-16914779137-front.mp3];[sound:quizlet-16914779137-back.mp3];"<img src=""quizlet-j67zd8R.3gw2GWT.CPmcOQ.png"">"
compensation;odszkodowanie;Synonimy: damages;[sound:quizlet-16914779157-front.mp3];[sound:quizlet-16914779157-back.mp3];"<img src=""quizlet-g-zz4dlLRHnzk-8igdVWjg.jpg"">"
construction management;kierownictwo budowy;;[sound:quizlet-16914779175-front.mp3];[sound:quizlet-16914779175-back.mp3];"<img src=""quizlet-_bImMRsbrafKfYH1BaAGnA.jpg"">"
construction manager;kierownik budowy;;[sound:quizlet-16914779176-front.mp3];[sound:quizlet-16914779176-back.mp3];"<img src=""quizlet-_bImMRsbrafKfYH1BaAGnA.jpg"">"
coordination;koordynacja;;[sound:quizlet-16914779187-front.mp3];[sound:quizlet-16914779187-back.mp3];"<img src=""quizlet-2137737248_e9f3e429d1.jpg"">"
electrician;elektryk;;[sound:quizlet-16914793012-front.mp3];[sound:quizlet-16914793012-back.mp3];"<img src=""quizlet-IWMUwr3_ChWAskVnZpszuw.jpg"">"
engineer;inżynier;;[sound:quizlet-16914793031-front.mp3];[sound:quizlet-16914793031-back.mp3];"<img src=""quizlet-5qHWr43.X9rBA21qhJ8Kgw.jpg"">"
ensure;zapewnić;;[sound:quizlet-16914793033-front.mp3];[sound:quizlet-16914793033-back.mp3];"<img src=""quizlet-aBG3ecTzzOCYWdHGjxMP7w.jpg"">"
factor of safety;współczynnik bezpieczeństwa;;[sound:quizlet-16914793059-front.mp3];[sound:quizlet-16914793059-back.mp3];"<img src=""quizlet-ttOvrmGUZO4mOPINLngHnA.jpg"">"
fire precautions;przeciwpożarowe środki ostrożności;;[sound:quizlet-16914793070-front.mp3];[sound:quizlet-16914793070-back.mp3];"<img src=""quizlet-FIGIxSrW4F8ZLYJWSqhN3w.png"">"
fire prevention;zapobieganie pożarom;;[sound:quizlet-16914793071-front.mp3];[sound:quizlet-16914793071-back.mp3];"<img src=""quizlet-oUJ2tPRbc-RQ-5tqtQkGZw.png"">"
fire protection;ochrona przeciwpożarowa;;[sound:quizlet-16914793072-front.mp3];[sound:quizlet-16914793072-back.mp3];"<img src=""quizlet-aJ7HzG3DBgIYpkgdC-qslA.png"">"
fitter;monter;;[sound:quizlet-16914793078-front.mp3];[sound:quizlet-16914793078-back.mp3];"<img src=""quizlet-hLqONKwVmoENrSETvsKwog.jpg"">"
foreman;majster;;[sound:quizlet-16914793099-front.mp3];[sound:quizlet-16914793099-back.mp3];"<img src=""quizlet-HU6xMahM0q9XcrM1bruLpA.jpg"">"
glazier;szklarz;;[sound:quizlet-16914793140-front.mp3];[sound:quizlet-16914793140-back.mp3];"<img src=""quizlet-rljsXK1g7Jfp0zrJWfVe4w.jpg"">"
inspector;inspektor;;[sound:quizlet-16914797784-front.mp3];[sound:quizlet-16914797784-back.mp3];"<img src=""quizlet-umoyDEp2lWruUK.fFA.8cg.jpg"">"
joiner;stolarz;Synonimy: carpenter;[sound:quizlet-16914797804-front.mp3];[sound:quizlet-16914797804-back.mp3];"<img src=""quizlet-PpEp0HU8BT9S9kxAcz5U3A.jpg"">"
paver;brukarz;;[sound:quizlet-16914797936-front.mp3];[sound:quizlet-16914797936-back.mp3];"<img src=""paver.jpg"">"
plasterer;tynkarz;;[sound:quizlet-16914807886-front.mp3];[sound:quizlet-16914807886-back.mp3];"<img src=""quizlet-jPL6GmJ5s.qkgEqIK4AE5Q.jpg"">"
roofer;dekarz;Synonimy: tiler;[sound:quizlet-16914807940-front.mp3];[sound:quizlet-16914807940-back.mp3];"<img src=""quizlet-aDqKHfbxLAdyyCZ5n4Fj.g.jpg"">"
stonemason;kamieniarz;;[sound:quizlet-16914808032-front.mp3];[sound:quizlet-16914808032-back.mp3];"<img src=""quizlet-m5Jd.zEvdcHXp0a1GQA1Iw.jpg"">"
welder;spawacz, spawarka;;[sound:quizlet-16914808358-front.mp3];[sound:quizlet-16914808358-back.mp3];"<img src=""quizlet-3VxMTJslH6wnJfGoBcAZoQ.jpg"">"