acidometer;areometr, tester gęstości elektrolitu;acidometre;x;x
analog multimeter;multimetr analogowy;;x;x
anti-freeze tester;glikometr;;x;x
ball anvil micrometer;mikrometr z kowadełkiem kulkowym;;x;x
battery hydrometer;próbnik akumulatorowy, tester elektrolitu;;x;x
brake force drum gauges;suwmiarka do bębnów hamulcowych;;x;x
calipers and dividers;macki sprężynowe, suwmiarki sprężynowe;;x;x
cylinder bore gauge;średnicówka, miernik średnicy cylindra;;x;x
voltage probe;sonda napięciowa;??? analog multimeter;x;x
disc brake micrometer;mikrometr do pomiaru tarcz hamulcowych;;x;x
outside micrometer;mikrometr zewnętrzny;;x;x
ruler;linijka, przymiar liniowy, liniał;;x;x
spark plug gapper;szczelinomierz do regulacji świecy zapłonowej;;x;x
Vernier calipers;suwmiarka noniuszowa;;x;x
window tint meter;miernik przepuszczalności światła;;x;x
pinion gear;przekładnia zębata;;x;x
slip ring;pierścień ślizgowy (kontakt elektryczny);;x;x