articulated bus;autobus członowy, przegubowy;;x;x
body length;długość nadwozia;;x;x
canvas;opończa, plandeka;;x;x
car carrier;autolaweta;;x;x
coach;autokar;;x;x
concrete mixer truck;betonomieszarka, gruszka;;x;x
container-semitrailer;naczepa-kontener;contrailer;x;x
delivery van;samochód dostawczy;;x;x
double-decker;autobus piętrowy;;x;x
driving axle;oś pędna;;x;x
dump truck;wywrotka;tipper truck;x;x
excavator;koparka;;x;x
farm tractor;ciągnik rolniczy;;x;x
fire truck;wóz strażacki;;x;x
four-door saloon;sedan czterodrzwiowy;four-door sedan;x;x
front wheel drive;napęd przedni, FWD;;x;x
garbage truck;śmieciarka;;x;x
hopper semitrailer;naczepa z lejem zsypowym;;x;x
loader;ładowarka;;x;x
loading capacity;pojemność załadunkowa;;x;x
mobile crane;dźwig samojezdny;;x;x
platform trailer;laweta;;x;x
racing car;wyścigowy;racer;x;x
rear wheel drive;napęd tylny, RWD;;x;x
refrigerated semitrailer;naczepa chłodnia;;x;x
refrigerated truck;samochód chłodnia;;x;x
sanding vehicle;piaskarka;;x;x
semitrailer;naczepa;;x;x
snow-plough;pług śnieżny;;x;x
steering axle;oś kierowana;;x;x
sunshine roof;rozsuwany dach;sliding roof;x;x
tanker semitrailer;naczepa cysterna;;x;x
taxi cab;taksówka;cab;x;x
tractor-semitrailer unit;zestaw naczepowy;long hauler;x;x
trolleybus;trolejbus;;x;x
truck tractor;ciągnik siodłowy;;x;x
two-door saloon;sedan dwudrzwiowy;two-door sedan;x;x
welding;spawanie;;x;x
welding helmet;przyłbica spawalnicza;;x;x
liquefied petroleum gas;autogaz;liquified petroleum gas;x;x