add-on parts;części dodatkowe;;x;x
aerial;antena;antenna;x;x
badge;znaczek, logo;;x;x
body shop;warsztat blacharski;;x;x
bonnet;maska;hood;x;x
boot;bagażnik;trunk;x;x
brake lights;światła stopu;;x;x
built-to-order car;samochód na zamówienie;;x;x
bulb;żarówka;;x;x
car wash;myjnia samochodowa;;x;x
door;drzwi;;x;x
door handle;klamka;;x;x
exhaust pipe;rura wydechowa;;x;x
final assembly;montaż końcowy;;x;x
floor pan;płyta podłogowa;;x;x
front bumper;przedni zderzak;;x;x
gear;bieg;;x;x
headlight;reflektor;;x;x
indicator;kierunkowskaz;turn signal;x;x
jack;podnośnik;;x;x
logo;logo;;x;x
number plate;tablica rejestracyjna;license plate;x;x
oil level;poziom oleju;;x;x
petrol cap;korek wlewu paliwa;gas tank lid;x;x
pre-assembly stations;stanowiska przedmontażowe;;x;x
rear bumper;tylny zderzak;;x;x
rear lights;tylne światła;;x;x
rear window;tylna szyba;;x;x
roof;dach;;x;x
side lights;światła postojowe;parking light;x;x
side panels;panele boczne;;x;x
side window;okno boczne;;x;x
silencer;tłumik;muffler;x;x
sill;próg;;x;x
spare tyre;koło zapasowe;spare tire;x;x
sunroof;szyberdach;;x;x
tyre;opona;tire;x;x
wheel arch;nadkole;;x;x
wheel nuts;nakrętki kół;;x;x
wheel trim;kołpak;;x;x
windscreen;przednia szyba;windshield;x;x
windscreen wiper;wycieraczka;windshield wiper;x;x
wing;błotnik;fender;x;x
wing mirror;lusterko boczne;side mirror;x;x