adapt;przystosowywać;;x;x
air-cooled engine;silnik chłodzony powietrzem;;x;x
approval;zatwierdzenie;;x;x
assembly;montaż;;x;x
brand identity;tożsamość marki;;x;x
chrome;chrom;;x;x
clay;glina;;x;x
concept car;prototyp samochodu;;x;x
customer demands;popyt konsumpcyjny;;x;x
derivative;wywodzący się;;x;x
design;projekt;;x;x
design freeze;brak możliwości dalszego rozwoju;;x;x
development;rozwój;;x;x
distinctive;charakterystyczny, wyróżniający się;;x;x
environmentally-friendly;ekologiczny;;x;x
ergonomics;ergonomia;;x;x
eye-catching details;przyciągające wzrok szczegóły;;x;x
grill;maskownica;;x;x
knock-out factors;czynniki wykluczające;;x;x
power windows;elektryczne szyby;;x;x
pre-series cars;samochody przedseryjne;;x;x
predecessor;poprzednik;;x;x
pricing of a car;wycena samochodu;;x;x
production requirements;wymagania produkcyjne;;x;x
prototype;prototyp;;x;x
quality;jakość;;x;x
recycling;recykling;;x;x
road surface;nawierzchnia drogowa;;x;x
sleek;wymuskany;;x;x
spacious;przestronny;;x;x
specify;precyzować;;x;x
sporty;sportowy;;x;x
streamlined;opływowy;;x;x
striking;rzucający się w oczy;;x;x
stylish;stylowy;;x;x
successor;następca;;x;x
technical requirements;wymagania techniczne;;x;x
unconventional;niekonwencjonalny;;x;x
unique;wyjątkowy;;x;x
zero-emission vehicle;pojazd ekologiczny;;x;x